id;processo;assunto;subarea;classe;juiz;vara;foro;digital;apensado_ao;controle;outros_assuntos;processo_principal;situacao;valor_da_acao;data_recebimento;tipo_recebimento;recurso
191901;00042357720188260099;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;ANA PAULA SCHLEIFFER LIVRERI;Vara do Juizado Especial Cível e Criminal;Foro de Bragança Paulista;TRUE;NA;2018/001975;NA;0004235-77.2018.8.26.0099;NA;708.03;2018-06-06;Livre;NA
651162;00048762620188260597;Planos de Saúde;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Rodrigo Rissi Fernandes;Vara do Juizado Especial Cível e Criminal;Foro de Sertãozinho;TRUE;NA;2018/001066;NA;0004876-26.2018.8.26.0597;NA;1255.5;2018-07-16;Livre;NA
666828;00037649220188260606;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;Ricardo Tseng Kuei Hsu;Vara do Juizado Especial Cível e Criminal;Foro de Suzano;TRUE;NA;2018/001241;NA;0003764-92.2018.8.26.0606;Extinto;568.28;2018-05-04;Livre;NA
647445;00139226020188260590;DIREITO DO CONSUMIDOR;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara Cível;Foro de São Vicente;TRUE;1003065-74.2014.8.26.0590;2014/000335;Antecipação de Tutela / Tutela Específica,Obrigações;1003065-74.2014.8.26.0590;NA;NA;2018-11-26;NA;NA
62692;00249728620188260007;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Procedimento do Juizado Especial Cível;PATRICIA SOARES DE ALBUQUERQUE;Vara do Juizado Especial Cível;Foro Regional VII - Itaquera;TRUE;NA;2018/007428;NA;0024972-86.2018.8.26.0007;NA;954;2018-11-05;Direcionada;NA
281960;00027645120188260220;Fornecimento de Energia Elétrica;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;Juliana Salzani;CEJUSC (Pré-Processual);Foro de Guaratinguetá;TRUE;NA;2018/000336;NA;0002764-51.2018.8.26.0220;Extinto;1000;2018-07-30;Livre;NA
40921;00074323420188260004;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;1ª Vara do Juizado Especial Cível;Foro Regional IV - Lapa;TRUE;NA;2018/002334;NA;1005200-32.2018.8.26.0004;NA;NA;2018-06-27;NA;NA
448461;00330989520188260405;Planos de Saúde;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;2ª Vara Cível;Foro de Osasco;TRUE;NA;2018/001605;NA;1018001-38.2018.8.26.0405;NA;NA;2018-12-04;NA;NA
586108;00003744920188260563;Planos de Saúde;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;Juizado Especial Cível e Criminal;Foro de São Bento do Sapucaí;TRUE;NA;2018/000006;NA;0000019-39.2018.8.26.0563;NA;NA;2018-08-14;NA;NA
437244;00001422220188260374;Contratos de Consumo;DIREITO DO CONSUMIDOR;Reclamação Pré-processual;SAMUEL BERTOLINO DOS SANTOS;CEJUSC (Pré-Processual);Foro de Morro Agudo;TRUE;NA;2018/000022;NA;0000142-22.2018.8.26.0374;NA;NA;2018-01-26;Direcionada;NA
634469;00151103020188260577;Rescisão do contrato e devolução do dinheiro;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;7ª Vara Cível;Foro de São José dos Campos;TRUE;NA;2015/002430;NA;1030696-95.2015.8.26.0577;NA;NA;2018-05-17;NA;NA
622376;00247705120188260576;Serviços Profissionais;DIREITO DO CONSUMIDOR;Cumprimento de sentença;NA;7ª Vara Cível;Foro de São José do Rio Preto;TRUE;NA;2012/001375;NA;0033947-49.2012.8.26.0576;NA;NA;2018-07-30;NA;NA
